title,content,source,author,url,datetime,content_exp,date,time,day,lemma,entity,sentiment
Tech giants call on the SEC to require climate impact reports from companies,"A group of tech giants including Amazon
, Facebook
 and Google parent Alphabet
 have urged the Securities and Exchange Commission to push companies to issue climate change performance reports. Int… [+1259 chars]",Engadget,https://www.engadget.com/about/editors/kris-holt,https://www.engadget.com/sec-climate-reports-alphabet-amazon-facebook-intel-ebay-154831488.html,2021-06-14 15:48:31+00:00,"[['Google Inc.', 'alphabet', 'giant', 'Facebook Inc.', 'Amazon', 'Securities and Exchange Commission', 'group'], ['Int', 'Securities and Exchange Commission', 'Google Inc.', 'Amazon', 'Facebook Inc.'], 0.0]",2021-06-14,15:48:31,Mon,"['Google Inc.', 'alphabet', 'giant', 'Facebook Inc.', 'Amazon', 'Securities and Exchange Commission', 'group']","['Int', 'Securities and Exchange Commission', 'Google Inc.', 'Amazon', 'Facebook Inc.']",0.0
Razer made a tiny 130W GaN charger that costs $180,"Depending on who you ask, gallium nitride (GaN) electronics may one day change the world. And we already see the material leading to smaller and more efficient power adapters. At its E3 press briefin… [+677 chars]",Engadget,https://www.engadget.com/about/editors/igor-bonifacic,https://www.engadget.com/razer-130w-gan-power-adapter-223055034.html,2021-06-14 22:30:55+00:00,"[['electronics', 'power adapter', 'gallium nitride', 'press', 'char', 'E3', 'material'], ['E3'], 9.8]",2021-06-14,22:30:55,Mon,"['electronics', 'power adapter', 'gallium nitride', 'press', 'char', 'E3', 'material']",['E3'],9.8
The OnePlus Nord N200 is a $240 5G phone,"One of the biggest criticisms against OnePlus of late is that its flagships have become quite expensive, which goes against the ""affordable premium"" notion the company gained lots of love for since i… [+1699 chars]",Engadget,https://www.engadget.com/about/editors/cherlynn-low,https://www.engadget.com/oneplus-nord-n200-5g-price-specs-where-to-buy-130001697.html,2021-06-15 13:00:01+00:00,"[['flagship', 'char', 'company', 'premium', 'criticism', 'notion', 'love'], ['OnePlus'], -0.6]",2021-06-15,13:00:01,Tue,"['flagship', 'char', 'company', 'premium', 'criticism', 'notion', 'love']",['OnePlus'],-0.6
Level’s new smart door lock is a little simpler and a little less expensive,"Alexa compatibility also arrives for the entire Level range
The Level Lock looks like a standard deadbolt from the outside
Image: Level
Smart lock company Level is announcing a new model in its li… [+1527 chars]",The Verge,Dan Seifert,https://www.theverge.com/2021/6/15/22534150/level-lock-new-model-smart-lock-alexa-homekit-price-news,2021-06-15 12:00:00+00:00,"[['deadbolt', 'Level Lock', 'lock', 'Level', 'compatibility', 'outside', 'Alexa'], ['Alexa', 'Level Lock', 'Level'], 5.9]",2021-06-15,12:00:00,Tue,"['deadbolt', 'Level Lock', 'lock', 'Level', 'compatibility', 'outside', 'Alexa']","['Alexa', 'Level Lock', 'Level']",5.9
Beats announces $149.99 Studio Buds earbuds with active noise cancellation,"Preorders open today, and theyll be available on June 24th
If you buy something from a Verge link, Vox Media may earn a commission. See our ethics statement.
Image: Beats
Beats today announced its… [+1677 chars]",The Verge,Chris Welch,https://www.theverge.com/2021/6/14/22533158/beats-studio-buds-features-price,2021-06-14 15:00:00+00:00,"[['Vox Media', 'ethics', 'commission', 'statement', 'order', 'char'], ['Vox Media', 'Jun-24'], -4.8]",2021-06-14,15:00:00,Mon,"['Vox Media', 'ethics', 'commission', 'statement', 'order', 'char']","['Vox Media', 'Jun-24']",-4.8
Amazon’s latest Echo Buds are $40 off for Prime members,"One of the best pre-Prime Day deals yet
If you buy something from a Verge link, Vox Media may earn a commission. See our ethics statement.
Photo by Chris Welch / The Verge
This story is part of a … [+4788 chars]",The Verge,Cameron Faulkner,https://www.theverge.com/good-deals/2021/6/14/22532977/amazon-echo-buds-deal-prime-day-google-nest-audio-hub-fathers-day,2021-06-14 14:44:47+00:00,"[['Vox Media', 'ethics', 'commission', 'photo', 'verge', 'statement', 'Chris'], ['Chris', 'Vox Media', 'Prime Day'], 2.4]",2021-06-14,14:44:47,Mon,"['Vox Media', 'ethics', 'commission', 'photo', 'verge', 'statement', 'Chris']","['Chris', 'Vox Media', 'Prime Day']",2.4
Enterprise AI platform Dataiku launches managed service for smaller companies,"Dataiku is going downstream with a new product today called Dataiku Online. As the name suggests, Dataiku Online is a fully managed version of Dataiku. It lets you take advantage of the data science … [+2717 chars]",TechCrunch,Romain Dillet,http://techcrunch.com/2021/06/14/enterprise-ai-platform-dataiku-launches-managed-service-for-smaller-companies/,2021-06-14 13:23:22+00:00,"[['Dataiku Online', 'Dataiku', 'product', 'science', 'name', 'version', 'data'], ['Dataiku Online', 'Dataiku'], 0.0]",2021-06-14,13:23:22,Mon,"['Dataiku Online', 'Dataiku', 'product', 'science', 'name', 'version', 'data']","['Dataiku Online', 'Dataiku']",0.0
Redwood Materials is setting up shop near the Tesla Gigafactory as part of broader expansion,"Redwood Materials, the battery recycling startup founded by former Tesla CTO JB Straubel, has purchased 100 acres of land near the Gigafactory that Panasonic operates with Tesla in Sparks, Nevada as … [+2525 chars]",TechCrunch,Kirsten Korosec,http://techcrunch.com/2021/06/14/redwood-materials-is-setting-up-shop-near-the-tesla-gigafactory-as-part-of-broader-expansion/,2021-06-14 18:34:42+00:00,"[['redwood', 'startup', 'Gigafactory', 'Matsushita', 'land', 'material', 'Tesla CTO JB Straubel'], ['Gigafactory', '100 acre', 'Tesla CTO JB Straubel', 'Nevada', 'Matsushita'], 4.5]",2021-06-14,18:34:42,Mon,"['redwood', 'startup', 'Gigafactory', 'Matsushita', 'land', 'material', 'Tesla CTO JB Straubel']","['Gigafactory', '100 acre', 'Tesla CTO JB Straubel', 'Nevada', 'Matsushita']",4.5
"Shopify expands its one-click checkout, Shop Pay, to any merchant on Facebook or Google",E-commerce platform Shopify announced this morning its one-click checkout service known as Shop Pay will become available to any U.S. merchant that sells on Facebook or Google — even if they don’t us… [+3834 chars],TechCrunch,Sarah Perez,http://techcrunch.com/2021/06/15/shopify-expands-its-one-click-checkout-shop-pay-to-any-merchant-on-facebook-or-google/,2021-06-15 14:35:23+00:00,"[['one-click', 'checkout', 'Shopify', 'E-commerce', 'Facebook', 'Google', 'merchant'], ['Shop Pay', 'Shopify', 'E-commerce', 'Google', 'Facebook'], -1.6]",2021-06-15,14:35:23,Tue,"['one-click', 'checkout', 'Shopify', 'E-commerce', 'Facebook', 'Google', 'merchant']","['Shop Pay', 'Shopify', 'E-commerce', 'Google', 'Facebook']",-1.6
Home services platform Thumbtack raises $275M on a $3.2B valuation to double down on home management,"On the heels of making an acquisition in December of home management startup Setter, Thumbtack — one of the pioneers in the home services gig economy — has raised a big round to double down on the mo… [+5627 chars]",TechCrunch,Ingrid Lunden,http://techcrunch.com/2021/06/15/thumbtack-home-services/,2021-06-15 12:19:40+00:00,"[['Setter', 'management', 'economy', 'gig', 'pioneer', 'acquisition', 'char'], ['Thumbtack', 'Setter'], 7.3]",2021-06-15,12:19:40,Tue,"['Setter', 'management', 'economy', 'gig', 'pioneer', 'acquisition', 'char']","['Thumbtack', 'Setter']",7.3
